deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0	0	2018-07-03	20:58:21	2018-07-03T06:58:21.000Z
HyErn3Blm	null	0	0	2018-07-03	21:13:21	2018-07-03T07:13:21.000Z
HyErn3Blm	null	0	0	2018-07-03	21:28:21	2018-07-03T07:28:21.000Z
HyErn3Blm	null	0	0	2018-07-03	21:43:21	2018-07-03T07:43:21.000Z
HyErn3Blm	null	1.33	79.31	2018-07-03	21:58:21	2018-07-03T07:58:21.000Z
HyErn3Blm	null	2.07	123.79	2018-07-03	22:13:19	2018-07-03T08:13:19.000Z
HyErn3Blm	null	0	0	2018-07-03	22:28:19	2018-07-03T08:28:19.000Z
HyErn3Blm	null	0	0	2018-07-03	22:43:19	2018-07-03T08:43:19.000Z
HyErn3Blm	null	0	0	2018-07-03	22:58:19	2018-07-03T08:58:19.000Z
HyErn3Blm	null	0	0	2018-07-03	23:13:20	2018-07-03T09:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	23:28:20	2018-07-03T09:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	23:43:20	2018-07-03T09:43:20.000Z
HyErn3Blm	null	2.72	162.18	2018-07-03	23:58:20	2018-07-03T09:58:20.000Z
HyErn3Blm	null	2.25	134.77	2018-07-03	00:13:20	2018-07-03T10:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	00:28:20	2018-07-03T10:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	00:43:20	2018-07-03T10:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	00:58:20	2018-07-03T10:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	01:13:20	2018-07-03T11:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	01:28:20	2018-07-03T11:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	01:43:20	2018-07-03T11:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	01:58:20	2018-07-03T11:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	02:13:20	2018-07-03T12:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	02:28:20	2018-07-03T12:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	02:43:20	2018-07-03T12:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	02:58:21	2018-07-03T12:58:21.000Z
HyErn3Blm	null	0	0	2018-07-03	03:13:21	2018-07-03T13:13:21.000Z
HyErn3Blm	null	0	0	2018-07-03	03:28:21	2018-07-03T13:28:21.000Z
HyErn3Blm	null	0	0	2018-07-03	03:43:21	2018-07-03T13:43:21.000Z
HyErn3Blm	null	0	0	2018-07-03	03:58:21	2018-07-03T13:58:21.000Z
HyErn3Blm	null	0	0	2018-07-03	04:13:21	2018-07-03T14:13:21.000Z
HyErn3Blm	null	0	0	2018-07-03	04:28:21	2018-07-03T14:28:21.000Z
HyErn3Blm	null	0	0	2018-07-03	04:43:21	2018-07-03T14:43:21.000Z
HyErn3Blm	null	0	0	2018-07-03	04:58:21	2018-07-03T14:58:21.000Z
HyErn3Blm	null	0	0	2018-07-03	05:13:21	2018-07-03T15:13:21.000Z
HyErn3Blm	null	0	0	2018-07-03	05:34:35	2018-07-03T15:34:35.000Z
HyErn3Blm	null	0	0	2018-07-03	05:49:35	2018-07-03T15:49:35.000Z
HyErn3Blm	null	0	0	2018-07-03	06:04:35	2018-07-03T16:04:35.000Z
HyErn3Blm	null	0	0	2018-07-03	06:19:35	2018-07-03T16:19:35.000Z
HyErn3Blm	null	1.29	77.39	2018-07-03	06:34:36	2018-07-03T16:34:36.000Z
HyErn3Blm	null	2.26	135.66	2018-07-03	06:49:36	2018-07-03T16:49:36.000Z
HyErn3Blm	null	1.2	71.14	2018-07-03	07:04:36	2018-07-03T17:04:36.000Z
HyErn3Blm	null	0	0	2018-07-03	07:19:36	2018-07-03T17:19:36.000Z
HyErn3Blm	null	1.06	63.12	2018-07-03	07:34:36	2018-07-03T17:34:36.000Z
HyErn3Blm	null	1.13	67.46	2018-07-03	07:49:36	2018-07-03T17:49:36.000Z
HyErn3Blm	null	2.67	160.08	2018-07-03	08:04:36	2018-07-03T18:04:36.000Z
HyErn3Blm	null	0	0	2018-07-03	08:19:36	2018-07-03T18:19:36.000Z
HyErn3Blm	null	0	0	2018-07-03	08:34:36	2018-07-03T18:34:36.000Z
HyErn3Blm	null	0	0	2018-07-03	08:49:36	2018-07-03T18:49:36.000Z
HyErn3Blm	null	0	0	2018-07-03	09:04:36	2018-07-03T19:04:36.000Z
HyErn3Blm	null	0.26	15.68	2018-07-03	09:19:36	2018-07-03T19:19:36.000Z
HyErn3Blm	null	2	120.18	2018-07-03	09:34:36	2018-07-03T19:34:36.000Z
HyErn3Blm	null	0	0	2018-07-03	09:49:36	2018-07-03T19:49:36.000Z
HyErn3Blm	null	0	0	2018-07-03	10:04:36	2018-07-03T20:04:36.000Z
HyErn3Blm	null	0	0	2018-07-03	10:19:37	2018-07-03T20:19:37.000Z
HyErn3Blm	null	0	0	2018-07-03	10:34:37	2018-07-03T20:34:37.000Z
HyErn3Blm	null	0	0	2018-07-03	10:49:37	2018-07-03T20:49:37.000Z
